"filename", "language", "XML", "Gradle", "Batch", "Java Properties", "Markdown", "Java", "JSON", "HTML", "JavaScript", "CSS", "Less", "XSL", "comment", "blank", "total"
"/Users/gavinatkinson/Documents/Code/FTC-2024-2025/FtcRobotController/build/intermediates/javac/debug/compileDebugJavaWithJavac/classes/org/firstinspires/ftc/robotcontroller/external/samples/ConceptGamepadTouchpad.class", "Java", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"/Users/gavinatkinson/Documents/Code/FTC-2024-2025/FtcRobotController/build/intermediates/javac/debug/compileDebugJavaWithJavac/classes/org/firstinspires/ftc/robotcontroller/external/samples/ConceptLEDStick.class", "Java", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 32
"/Users/gavinatkinson/Documents/Code/FTC-2024-2025/FtcRobotController/build/intermediates/javac/debug/compileDebugJavaWithJavac/classes/org/firstinspires/ftc/robotcontroller/external/samples/ConceptMotorBulkRead.class", "Java", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/gavinatkinson/Documents/Code/FTC-2024-2025/FtcRobotController/build/intermediates/javac/debug/compileDebugJavaWithJavac/classes/org/firstinspires/ftc/robotcontroller/external/samples/ConceptNullOp.class", "Java", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 19
"/Users/gavinatkinson/Documents/Code/FTC-2024-2025/FtcRobotController/build/intermediates/javac/debug/compileDebugJavaWithJavac/classes/org/firstinspires/ftc/robotcontroller/external/samples/ConceptRampMotorSpeed.class", "Java", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 20
"/Users/gavinatkinson/Documents/Code/FTC-2024-2025/FtcRobotController/build/intermediates/javac/debug/compileDebugJavaWithJavac/classes/org/firstinspires/ftc/robotcontroller/external/samples/ConceptRevLED.class", "Java", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 20
"/Users/gavinatkinson/Documents/Code/FTC-2024-2025/FtcRobotController/build/intermediates/javac/debug/compileDebugJavaWithJavac/classes/org/firstinspires/ftc/robotcontroller/external/samples/ConceptRevSPARKMini.class", "Java", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 24
"/Users/gavinatkinson/Documents/Code/FTC-2024-2025/FtcRobotController/build/intermediates/javac/debug/compileDebugJavaWithJavac/classes/org/firstinspires/ftc/robotcontroller/external/samples/ConceptScanServo.class", "Java", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 14
"/Users/gavinatkinson/Documents/Code/FTC-2024-2025/FtcRobotController/build/intermediates/javac/debug/compileDebugJavaWithJavac/classes/org/firstinspires/ftc/robotcontroller/external/samples/ConceptSoundsASJava.class", "Java", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 25
"/Users/gavinatkinson/Documents/Code/FTC-2024-2025/FtcRobotController/build/intermediates/javac/debug/compileDebugJavaWithJavac/classes/org/firstinspires/ftc/robotcontroller/external/samples/ConceptSoundsOnBotJava.class", "Java", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 39
"/Users/gavinatkinson/Documents/Code/FTC-2024-2025/FtcRobotController/build/intermediates/javac/debug/compileDebugJavaWithJavac/classes/org/firstinspires/ftc/robotcontroller/external/samples/ConceptSoundsSKYSTONE$1.class", "Java", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
"/Users/gavinatkinson/Documents/Code/FTC-2024-2025/FtcRobotController/build/intermediates/javac/debug/compileDebugJavaWithJavac/classes/org/firstinspires/ftc/robotcontroller/external/samples/ConceptSoundsSKYSTONE.class", "Java", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 24
"/Users/gavinatkinson/Documents/Code/FTC-2024-2025/FtcRobotController/build/intermediates/javac/debug/compileDebugJavaWithJavac/classes/org/firstinspires/ftc/robotcontroller/external/samples/ConceptTelemetry$1.class", "Java", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 12
"/Users/gavinatkinson/Documents/Code/FTC-2024-2025/FtcRobotController/build/intermediates/javac/debug/compileDebugJavaWithJavac/classes/org/firstinspires/ftc/robotcontroller/external/samples/ConceptTelemetry.class", "Java", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 42
"/Users/gavinatkinson/Documents/Code/FTC-2024-2025/FtcRobotController/build/intermediates/javac/debug/compileDebugJavaWithJavac/classes/org/firstinspires/ftc/robotcontroller/external/samples/ConceptVisionColorLocator.class", "Java", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 43
"/Users/gavinatkinson/Documents/Code/FTC-2024-2025/FtcRobotController/build/intermediates/javac/debug/compileDebugJavaWithJavac/classes/org/firstinspires/ftc/robotcontroller/external/samples/ConceptVisionColorSensor.class", "Java", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 31
"/Users/gavinatkinson/Documents/Code/FTC-2024-2025/FtcRobotController/build/intermediates/javac/debug/compileDebugJavaWithJavac/classes/org/firstinspires/ftc/robotcontroller/external/samples/OctoSwerveDrive.class", "Java", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 21
"/Users/gavinatkinson/Documents/Code/FTC-2024-2025/FtcRobotController/build/intermediates/javac/debug/compileDebugJavaWithJavac/classes/org/firstinspires/ftc/robotcontroller/external/samples/OctoSwerveModule.class", "Java", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 23
"/Users/gavinatkinson/Documents/Code/FTC-2024-2025/FtcRobotController/build/intermediates/javac/debug/compileDebugJavaWithJavac/classes/org/firstinspires/ftc/robotcontroller/external/samples/RobotAutoDriveByEncoder_Linear.class", "Java", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 42
"/Users/gavinatkinson/Documents/Code/FTC-2024-2025/FtcRobotController/build/intermediates/javac/debug/compileDebugJavaWithJavac/classes/org/firstinspires/ftc/robotcontroller/external/samples/RobotAutoDriveByGyro_Linear.class", "Java", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 67
"/Users/gavinatkinson/Documents/Code/FTC-2024-2025/FtcRobotController/build/intermediates/javac/debug/compileDebugJavaWithJavac/classes/org/firstinspires/ftc/robotcontroller/external/samples/RobotAutoDriveByTime_Linear.class", "Java", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 3, 0, 25
"/Users/gavinatkinson/Documents/Code/FTC-2024-2025/FtcRobotController/build/intermediates/javac/debug/compileDebugJavaWithJavac/classes/org/firstinspires/ftc/robotcontroller/external/samples/RobotAutoDriveToAprilTagOmni.class", "Java", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 24, 1, 72
"/Users/gavinatkinson/Documents/Code/FTC-2024-2025/FtcRobotController/build/intermediates/javac/debug/compileDebugJavaWithJavac/classes/org/firstinspires/ftc/robotcontroller/external/samples/RobotAutoDriveToAprilTagTank.class", "Java", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"/Users/gavinatkinson/Documents/Code/FTC-2024-2025/FtcRobotController/build/intermediates/javac/debug/compileDebugJavaWithJavac/classes/org/firstinspires/ftc/robotcontroller/external/samples/RobotAutoDriveToLine_Linear.class", "Java", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 24
"/Users/gavinatkinson/Documents/Code/FTC-2024-2025/FtcRobotController/build/intermediates/javac/debug/compileDebugJavaWithJavac/classes/org/firstinspires/ftc/robotcontroller/external/samples/RobotHardware.class", "Java", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 28
"/Users/gavinatkinson/Documents/Code/FTC-2024-2025/FtcRobotController/build/intermediates/javac/debug/compileDebugJavaWithJavac/classes/org/firstinspires/ftc/robotcontroller/external/samples/RobotTeleopPOV_Linear.class", "Java", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 29
"/Users/gavinatkinson/Documents/Code/FTC-2024-2025/FtcRobotController/build/intermediates/javac/debug/compileDebugJavaWithJavac/classes/org/firstinspires/ftc/robotcontroller/external/samples/RobotTeleopTank_Iterative.class", "Java", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 25
"/Users/gavinatkinson/Documents/Code/FTC-2024-2025/FtcRobotController/build/intermediates/javac/debug/compileDebugJavaWithJavac/classes/org/firstinspires/ftc/robotcontroller/external/samples/SampleRevBlinkinLedDriver$DisplayKind.class", "Java", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 18
"/Users/gavinatkinson/Documents/Code/FTC-2024-2025/FtcRobotController/build/intermediates/javac/debug/compileDebugJavaWithJavac/classes/org/firstinspires/ftc/robotcontroller/external/samples/SampleRevBlinkinLedDriver.class", "Java", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 34
